rowlabel,split,sex,yrsarea,resyrago,work2,tenure1,livharm1,agegrp7,ethgrp2a,educat3,rural2,edeprivex,IndivWgtx,bcsvictim,rubbcomm,vandcomm,poorhou,Total
137068050,A (Experiences of the police),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Single,45-54,White,Degree or diploma,Urban,2,0.54,Not a victim of crime,Not very common,Not very common,Not very common,3
147461190,C (Crime prevention and security),Female,10 years but less than 20 years,,No,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,4,1.21,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137116250,A (Experiences of the police),Female,20 years or longer,No,No,Rent it,Widowed,55-64,White,Degree or diploma,Urban,1,0.57,Not a victim of crime,Not very common,Not at all common,Not very common,2
147354190,C (Crime prevention and security),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,White,O level/GCSE,Urban,1,0.99,Victim of crime,Not at all common,Not at all common,Not at all common,0
137061230,C (Crime prevention and security),Female,20 years or longer,,No,Rent it,Widowed,65-74,White,None,Rural,3,0.41,Not a victim of crime,Not very common,Not very common,Not very common,3
136898230,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,O level/GCSE,Urban,2,1.2,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
135507330,A (Experiences of the police),Male,10 years but less than 20 years,,Yes,Rent it,Married/Civil Partnered,45-54,White,None,Urban,1,1.99,Not a victim of crime,Not very common,Not very common,Not very common,3
136450220,B (Attitudes to the CJS),Female,5 years but less than 10 years,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Urban,5,1.12,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136111200,D (Online Security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,4,0.71,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136599250,A (Experiences of the police),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,Apprenticeship or A/AS level,Rural,5,0.74,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136229130,A (Experiences of the police),Male,3 years but less than 5 years,,Yes,Buying it with the help of a mortgage or loan,Single,25-34,White,Degree or diploma,Urban,1,0.53,Not a victim of crime,Not very common,Not very common,Not very common,3
136947260,B (Attitudes to the CJS),Male,5 years but less than 10 years,,No,Own it outright,Married/Civil Partnered,75+,White,Apprenticeship or A/AS level,Urban,,0.65,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147438230,C (Crime prevention and security),Female,20 years or longer,,No,Rent it,Married/Civil Partnered,75+,White,None,Rural,2,1.39,Not a victim of crime,Not very common,Not very common,Not very common,3
136318080,D (Online Security),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,45-54,Asian or Asian British,O level/GCSE,Urban,1,1.1,Not a victim of crime,Fairly common,Not at all common,Very common,5
137011300,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Single,45-54,White,Apprenticeship or A/AS level,Urban,3,1.03,Not a victim of crime,Not very common,Not at all common,Not at all common,1
136610310,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Widowed,75+,White,None,Urban,4,0.37,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136602010,A (Experiences of the police),Male,2 years but less than 3 years,,Yes,Rent it,Separate,45-54,White,Degree or diploma,Urban,5,0.51,Not a victim of crime,Not very common,Not very common,Not very common,3
136659080,D (Online Security),Male,20 years or longer,,No,Own it outright,Widowed,65-74,White,Apprenticeship or A/AS level,Urban,2,0.46,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136613110,C (Crime prevention and security),Male,12 months but less than 2 years,Yes,No,Own it outright,Single,55-64,White,Apprenticeship or A/AS level,Urban,1,0.48,Not a victim of crime,Not very common,Not at all common,Not very common,2
136842090,A (Experiences of the police),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,1,1.24,Not a victim of crime,Not very common,Not very common,Not very common,3
147439070,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Separate,65-74,White,O level/GCSE,Urban,2,0.59,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137091280,D (Online Security),Female,5 years but less than 10 years,,No,Rent it,Cohabiting,45-54,White,O level/GCSE,Urban,,1.57,Not a victim of crime,Fairly common,Not very common,Not very common,4
136044190,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Apprenticeship or A/AS level,Urban,2,2.05,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147591040,D (Online Security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Degree or diploma,Urban,4,1.11,Victim of crime,Not very common,Not at all common,Not very common,2
136941090,A (Experiences of the police),Female,3 years but less than 5 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Rural,5,0.55,Victim of crime,Not at all common,Not at all common,Not at all common,0
147499200,D (Online Security),Male,5 years but less than 10 years,,Yes,Own it outright,Cohabiting,45-54,White,Apprenticeship or A/AS level,Urban,,0.54,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137000320,D (Online Security),Female,10 years but less than 20 years,,No,Rent it,Divorced,55-64,White,O level/GCSE,Urban,1,0.66,Not a victim of crime,Fairly common,Fairly common,Not very common,5
136994150,C (Crime prevention and security),Male,10 years but less than 20 years,,Yes,Rent it,Single,25-34,White,Degree or diploma,Urban,1,0.82,Not a victim of crime,Not very common,Not very common,Not very common,3
136088080,D (Online Security),Female,Less than 12 months,No,Yes,Rent it,Divorced,55-64,White,Other,Urban,2,0.55,Victim of crime,Not very common,Not at all common,Not at all common,1
147272190,C (Crime prevention and security),Male,20 years or longer,,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Cohabiting,65-74,White,None,Rural,4,1.19,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137087210,A (Experiences of the police),Female,20 years or longer,Yes,No,Rent it,Married/Civil Partnered,65-74,White,Degree or diploma,Rural,,0.48,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136608020,B (Attitudes to the CJS),Female,10 years but less than 20 years,,No,Own it outright,Widowed,75+,White,Other,Rural,4,0.62,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136040300,B (Attitudes to the CJS),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Apprenticeship or A/AS level,Urban,2,1.14,Not a victim of crime,Not very common,Not very common,Not very common,3
136578220,B (Attitudes to the CJS),Female,10 years but less than 20 years,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Married/Civil Partnered,25-34,Asian or Asian British,Degree or diploma,Urban,3,3.26,Not a victim of crime,Not very common,Not very common,Not very common,3
136726270,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Rent it,Single,45-54,White,Degree or diploma,Urban,2,0.64,Victim of crime,Fairly common,Not very common,Very common,6
136442170,A (Experiences of the police),Male,20 years or longer,,Yes,Rent it,Divorced,45-54,White,None,Urban,2,0.64,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136697180,B (Attitudes to the CJS),Male,20 years or longer,,Yes,Rent it,Single,55-64,White,O level/GCSE,Urban,2,1.17,Not a victim of crime,Not very common,Not very common,Not very common,3
147439050,A (Experiences of the police),Female,10 years but less than 20 years,,No,Buying it with the help of a mortgage or loan,Widowed,65-74,Chinese or Other,Degree or diploma,Urban,2,0.59,Not a victim of crime,Fairly common,Not very common,Not very common,4
136087150,C (Crime prevention and security),Female,5 years but less than 10 years,,No,Own it outright,Single,45-54,White,Degree or diploma,Rural,4,0.53,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136274030,C (Crime prevention and security),Male,Less than 12 months,No,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Other,Urban,1,1.3,Not a victim of crime,Not very common,Not very common,Not very common,3
137122140,B (Attitudes to the CJS),Male,3 years but less than 5 years,,No,Rent it,Cohabiting,25-34,White,O level/GCSE,Urban,1,1.4,Not a victim of crime,Not very common,Not at all common,Not at all common,1
147288160,D (Online Security),Male,20 years or longer,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,White,Apprenticeship or A/AS level,Urban,1,1.46,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147342110,C (Crime prevention and security),Male,Less than 12 months,No,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,Asian or Asian British,Apprenticeship or A/AS level,Urban,5,2.05,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147500130,A (Experiences of the police),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Apprenticeship or A/AS level,Urban,,0.77,Not a victim of crime,Not very common,Not at all common,Not at all common,1
136895250,A (Experiences of the police),Male,12 months but less than 2 years,Yes,No,Rent it,Single,45-54,White,None,Urban,1,0.66,Victim of crime,Fairly common,Not very common,Not very common,4
136203160,D (Online Security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Urban,4,0.92,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136236100,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Rent it,Married/Civil Partnered,25-34,White,O level/GCSE,Urban,1,0.97,Not a victim of crime,Not very common,Not very common,Not very common,3
135304150,C (Crime prevention and security),Male,20 years or longer,,No,Rent it,Widowed,75+,White,None,Urban,1,0.99,Not a victim of crime,Not very common,Not at all common,Not very common,2
