rowlabel,split,sex,yrsarea,resyrago,work2,tenure1,livharm1,agegrp7,ethgrp2a,educat3,rural2,edeprivex,wdeprivex,IndivWgtx,cause2m,walkdark,walkday,homealon,wburgl,wmugged,wcarstol,wfromcar,wraped,wattack,wraceatt,worryx,bcsvictim,rubbcomm,vandcomm,poorhou,antisocx
137068050,A (Experiences of the police),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Single,45-54,White,Degree or diploma,Urban,2,,0.54,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,2.07
147461190,C (Crime prevention and security),Female,10 years but less than 20 years,,No,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,4,,1.21,,,,,Not very worried,Not at all worried,,,Not at all worried,Not at all worried,Not at all worried,-1.13,Not a victim of crime,Not at all common,Not at all common,Not at all common,
137116250,A (Experiences of the police),Female,20 years or longer,No,No,Rent it,Widowed,55-64,White,Degree or diploma,Urban,1,,0.57,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,-0.24
147354190,C (Crime prevention and security),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,White,O level/GCSE,Urban,1,,0.99,,,,,Fairly worried,Not very worried,,,Not at all worried,Not very worried,Not at all worried,-0.26,Victim of crime,Not at all common,Not at all common,Not at all common,
137061230,C (Crime prevention and security),Female,20 years or longer,,No,Rent it,Widowed,65-74,White,None,Rural,3,,0.41,,,,,Fairly worried,Fairly worried,,,Fairly worried,Fairly worried,Not very worried,1.18,Not a victim of crime,Not very common,Not very common,Not very common,
136898230,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,O level/GCSE,Urban,2,,1.2,,,,,Not very worried,Not at all worried,,,Not at all worried,Not very worried,Not at all worried,-0.82,Not a victim of crime,Not at all common,Not at all common,Not at all common,
135507330,A (Experiences of the police),Male,10 years but less than 20 years,,Yes,Rent it,Married/Civil Partnered,45-54,White,None,Urban,1,,1.99,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,-1.22
136450220,B (Attitudes to the CJS),Female,5 years but less than 10 years,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Urban,5,,1.12,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136111200,D (Online Security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,4,,0.71,G. Unemployment,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136599250,A (Experiences of the police),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,Apprenticeship or A/AS level,Rural,5,,0.74,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136229130,A (Experiences of the police),Male,3 years but less than 5 years,,Yes,Buying it with the help of a mortgage or loan,Single,25-34,White,Degree or diploma,Urban,1,,0.53,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,0.94
136947260,B (Attitudes to the CJS),Male,5 years but less than 10 years,,No,Own it outright,Married/Civil Partnered,75+,White,Apprenticeship or A/AS level,Urban,,4,0.65,,,,,,,Not at all worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147438230,C (Crime prevention and security),Female,20 years or longer,,No,Rent it,Married/Civil Partnered,75+,White,None,Rural,2,,1.39,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,-0.25,Not a victim of crime,Not very common,Not very common,Not very common,
136318080,D (Online Security),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,45-54,Asian or Asian British,O level/GCSE,Urban,1,,1.1,D. Lack of discipline from parents,Fairly safe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Fairly common,Not at all common,Very common,
137011300,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Single,45-54,White,Apprenticeship or A/AS level,Urban,3,,1.03,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
136610310,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Widowed,75+,White,None,Urban,4,,0.37,,,,,Not very worried,Fairly worried,,,Not at all worried,Not very worried,Not at all worried,-0.21,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136602010,A (Experiences of the police),Male,2 years but less than 3 years,,Yes,Rent it,Separate,45-54,White,Degree or diploma,Urban,5,,0.51,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,0.94
136659080,D (Online Security),Male,20 years or longer,,No,Own it outright,Widowed,65-74,White,Apprenticeship or A/AS level,Urban,2,,0.46,G. Unemployment,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136613110,C (Crime prevention and security),Male,12 months but less than 2 years,Yes,No,Own it outright,Single,55-64,White,Apprenticeship or A/AS level,Urban,1,,0.48,,,,,Not at all worried,Not very worried,,,Not at all worried,Not very worried,Not at all worried,-0.77,Not a victim of crime,Not very common,Not at all common,Not very common,
136842090,A (Experiences of the police),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,1,,1.24,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,2.42
147439070,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Separate,65-74,White,O level/GCSE,Urban,2,,0.59,,,,,Not at all worried,Not at all worried,,,Not at all worried,Not at all worried,Not at all worried,-1.39,Not a victim of crime,Not at all common,Not at all common,Not at all common,
137091280,D (Online Security),Female,5 years but less than 10 years,,No,Rent it,Cohabiting,45-54,White,O level/GCSE,Urban,,1,1.57,E. Drugs,A bit unsafe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,
136044190,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Apprenticeship or A/AS level,Urban,2,,2.05,,,,,Not very worried,Not at all worried,,,Not at all worried,Not very worried,Not at all worried,-0.82,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147591040,D (Online Security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Degree or diploma,Urban,4,,1.11,E. Drugs,A bit unsafe,Very safe,Fairly safe,,,,,,,,,Victim of crime,Not very common,Not at all common,Not very common,
136941090,A (Experiences of the police),Female,3 years but less than 5 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Rural,5,,0.55,,,,,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,-0.25
147499200,D (Online Security),Male,5 years but less than 10 years,,Yes,Own it outright,Cohabiting,45-54,White,Apprenticeship or A/AS level,Urban,,2,0.54,Spontaneous: None of these,Very unsafe,Fairly safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
